class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.common.serialize.fastjson2.TypeMatchTest	class	11	11	0	11	5	1	0	18	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.remoting.exchange.Response	class	1	23	22	1	22	1	1	1	95	0.92690057	0.22222222	0.79532164	19	0	19	0	0	0	19	0
org.apache.dubbo.demo.consumer.ApiWrapperConsumer	class	6	6	0	6	1	1	0	16	0	0	#NUM!	#NUM!	1	1	1	0	0	0	1	0
org.apache.dubbo.rpc.cluster.support.wrapper.AbstractCluster	class	12	24	12	12	10	4	11	17	10	0	0	0	5	0	1	3	1	0	2	1
org.apache.dubbo.registry.client.metadata.MetadataServiceURLBuilderTest	class	2	2	0	2	1	1	0	3	0	#NUM!	#NUM!	#NUM!	0	0	0	0	0	0	1	0
org.apache.dubbo.config.spring.isolation.spring.annotation.consumer.tri.HelloServiceV2	class	3	3	0	3	1	1	0	1	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.remoting.buffer.ByteBufferBackedChannelBufferTest	class	3	3	0	3	2	2	0	1	0	0	1	1	2	0	0	0	2	0	2	0
org.apache.dubbo.rpc.service.ServiceDescriptorInternalCache	class	4	4	0	4	2	1	0	0	1	0.5	0	0	2	2	2	0	0	0	2	0
org.apache.dubbo.config.spring.isolation.spring.annotation.consumer.tri.HelloServiceV3	class	3	3	0	3	1	1	0	1	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.rpc.protocol.tri.support.IGreeterImpl	class	3	4	1	3	4	1	0	3	4	0.5	0.16666667	0.16666667	4	0	4	0	0	0	4	0
org.apache.dubbo.common.config.configcenter.ConfigItem	class	0	1	1	0	6	1	0	0	3	0.5	0.4	0.6666667	6	0	6	0	0	0	6	0
org.apache.dubbo.rpc.cluster.router.mesh.rule.BaseRule	class	0	4	4	0	7	1	2	0	3	0.5714286	0.42857143	1	7	0	7	0	0	0	7	0
org.apache.dubbo.common.config.EnvironmentTest	class	11	11	0	11	3	1	0	33	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.rpc.cluster.configurator.parser.model.ConditionMatch	class	5	10	5	5	23	1	0	11	30	0.73333335	0.27272728	1	12	0	12	0	0	0	12	0
org.apache.dubbo.metadata.rest.jaxrs.QueryParamParameterProcessor	class	1	1	0	1	1	3	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.rpc.protocol.rest.NumberUtilsTest	class	7	8	1	7	6	1	0	23	15	0	0	0	6	0	0	0	0	6	6	0
org.apache.dubbo.common.extension.activate.impl.OldActivateExt1Impl2	class	2	3	1	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.rpc.cluster.support.ClusterUtilsTest	class	5	5	0	5	3	1	0	23	0	0	1	1	3	0	1	0	0	2	3	0
org.apache.dubbo.common.serialize.SerializationScopeModelInitializer	class	5	5	0	5	3	1	0	2	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.rpc.filter.TimeoutFilterTest	class	9	9	0	9	2	1	0	10	0	0	1	1	2	0	0	0	0	2	2	0
org.apache.dubbo.rpc.proxy.MethodInvokerTest	class	6	6	0	6	1	1	0	10	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.common.extension.activate.impl.OldActivateExt1Impl3	class	2	3	1	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.spring.boot.context.event.AwaitingNonWebApplicationListenerTest	class	3	4	1	3	2	1	0	1	1	0	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.remoting.exchange.support.header.AbstractTimerTask	class	6	15	9	6	18	1	3	12	18	0.6888889	0.0952381	0.14285715	9	3	2	2	1	4	7	1
org.apache.dubbo.config.ReferenceConfig	class	25	44	19	25	122	2	0	157	355	0.8709678	0.057894737	0.11578947	31	0	13	11	7	0	20	0
org.apache.dubbo.common.json.impl.FastJson2Impl	class	2	3	1	2	3	2	0	3	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.common.beanutil.JavaBeanSerializeUtilTest	class	12	13	1	12	50	1	0	135	325	0	0	0	26	6	1	0	0	25	26	0
org.apache.dubbo.common.serialize.java.CompactedObjectInputStream	class	1	3	2	1	8	3	0	9	4	0.5	0	0	4	0	2	1	1	0	3	0
org.apache.dubbo.monitor.support.MonitorFilterTest	class	11	11	0	11	10	1	0	32	0	0.5416667	0.6666667	0.6666667	6	0	0	0	0	6	6	0
org.apache.dubbo.rpc.cluster.filter.support.ObservationSenderFilter	class	13	15	2	13	9	1	0	17	8	0.6	0.16666667	0.16666667	5	0	4	1	0	0	4	0
org.apache.dubbo.rpc.cluster.router.script.config.model.ScriptRule	class	5	7	2	5	7	2	0	7	6	0.70000005	0.2	0.2	5	1	5	0	0	0	5	0
org.apache.dubbo.rpc.protocol.dubbo.DubboIsolationExecutorSupport	class	11	13	2	11	7	2	0	10	0	0.33333334	1	1	2	0	1	0	1	0	2	0
org.apache.dubbo.metadata.annotation.processing.model.CollectionTypeModel	class	3	5	2	3	0	1	0	0	0	#NUM!	-1	-1	0	0	0	0	0	0	0	0
